Stage,Model A Entropy,Model B Entropy,Round 1 Win Rate (A Black),Round 2 Win Rate (B Black)
1,0.05000,0.00000,0.8900,0.9400
2,0.05000,0.00000,0.2700,0.9800
3,0.05000,0.00000,0.3500,0.9900
4,0.05000,0.00000,0.0200,1.0000
5,0.05000,0.00000,0.0900,1.0000
6,0.05000,0.00000,0.2700,0.9600
7,0.05000,0.00000,0.3200,0.9300
8,0.05000,0.00000,0.2600,0.9000
9,0.05000,0.00000,0.6200,0.9100
10,0.05000,0.00000,0.4500,0.9700
11,0.05000,0.00000,0.9400,0.9600
12,0.05000,0.00000,0.3400,0.9500
13,0.05000,0.00000,0.1800,0.9900
14,0.05000,0.00000,0.0100,1.0000
15,0.05000,0.00000,0.0100,0.9900
16,0.05000,0.00000,0.0100,0.9800
17,0.05000,0.00000,0.0500,0.9900
18,0.05000,0.00000,0.0000,1.0000
19,0.05000,0.00000,0.0100,0.9900
20,0.05000,0.00000,0.0200,1.0000
21,0.05000,0.00000,0.0000,1.0000
22,0.05000,0.00000,0.0000,1.0000
23,0.05000,0.00000,0.1900,0.9800
24,0.05000,0.00000,0.2700,0.9700
25,0.05000,0.00000,0.3600,0.9300
26,0.05000,0.00000,0.3100,0.9300
27,0.05000,0.00000,0.8200,0.9500
28,0.05000,0.00000,0.2900,0.9700
29,0.05000,0.00000,0.3100,0.9300
30,0.05000,0.00000,0.9800,0.9700
31,0.05000,0.10000,0.9100,0.6300
32,0.05000,0.10000,1.0000,0.2200
33,0.05000,0.10000,0.9300,0.3100
34,0.05000,0.10000,0.9500,0.2700
35,0.05000,0.10000,0.9200,0.4200
36,0.05000,0.10000,1.0000,0.0100
37,0.05000,0.10000,1.0000,0.0300
38,0.05000,0.10000,1.0000,0.0000
39,0.05000,0.10000,1.0000,0.0000
40,0.05000,0.10000,1.0000,0.0100
41,0.05000,0.10000,1.0000,0.0000
42,0.05000,0.10000,1.0000,0.0100
43,0.05000,0.10000,1.0000,0.0000
44,0.05000,0.10000,0.9900,0.0200
45,0.05000,0.10000,1.0000,0.0000
46,0.05000,0.10000,1.0000,0.0100
47,0.05000,0.10000,1.0000,0.0000
48,0.05000,0.10000,1.0000,0.0000
49,0.05000,0.10000,1.0000,0.0000
50,0.05000,0.10000,1.0000,0.0000
51,0.05000,0.10000,1.0000,0.0000
52,0.05000,0.10000,1.0000,0.0000
53,0.05000,0.10000,1.0000,0.0000
54,0.05000,0.10000,1.0000,0.0000
55,0.05000,0.10000,1.0000,0.0000
56,0.05000,0.10000,1.0000,0.0000
57,0.05000,0.10000,1.0000,0.0000
58,0.05000,0.10000,1.0000,0.0000
59,0.05000,0.10000,1.0000,0.0000
60,0.05000,0.10000,1.0000,0.0000
61,0.05000,0.10000,1.0000,0.0000
62,0.05000,0.10000,1.0000,0.0000
63,0.05000,0.10000,1.0000,0.0000
64,0.05000,0.10000,1.0000,0.0000
65,0.05000,0.10000,1.0000,0.0000
66,0.05000,0.10000,1.0000,0.0000
67,0.05000,0.10000,1.0000,0.0000
68,0.05000,0.10000,1.0000,0.0000
69,0.05000,0.10000,1.0000,0.0000
70,0.05000,0.10000,1.0000,0.0000
71,0.05000,0.10000,1.0000,0.0000
72,0.05000,0.10000,1.0000,0.0000
73,0.05000,0.10000,1.0000,0.0000
74,0.05000,0.10000,1.0000,0.0000
75,0.05000,0.10000,1.0000,0.0000
76,0.05000,0.10000,1.0000,0.0000
77,0.05000,0.10000,1.0000,0.0000
78,0.05000,0.10000,1.0000,0.0000
79,0.05000,0.10000,1.0000,0.0000
80,0.05000,0.10000,1.0000,0.0000
81,0.05000,0.10000,1.0000,0.0000
82,0.05000,0.10000,1.0000,0.0000
83,0.05000,0.10000,1.0000,0.0000
84,0.05000,0.10000,1.0000,0.0000
85,0.05000,0.10000,1.0000,0.0000
86,0.05000,0.10000,1.0000,0.0000
87,0.05000,0.10000,1.0000,0.0000
88,0.05000,0.10000,1.0000,0.0000
89,0.05000,0.10000,1.0000,0.0000
90,0.05000,0.10000,1.0000,0.0000
91,0.05000,0.10000,1.0000,0.0000
92,0.05000,0.10000,1.0000,0.0000
93,0.05000,0.10000,1.0000,0.0000
94,0.05000,0.10000,1.0000,0.0000
95,0.05000,0.10000,1.0000,0.0000
96,0.05000,0.10000,1.0000,0.0000
97,0.05000,0.10000,1.0000,0.0000
98,0.05000,0.10000,0.9900,0.0800
99,0.05000,0.10000,0.9400,0.9100
100,0.05000,0.10000,0.9300,0.9500
101,0.15000,0.10000,0.6000,0.9200
102,0.15000,0.10000,0.6200,0.9400
103,0.15000,0.10000,0.5100,0.8700
104,0.15000,0.10000,0.9200,0.9800
105,0.15000,0.10000,0.3600,0.9300
106,0.15000,0.10000,0.5100,0.9600
107,0.15000,0.10000,0.6300,0.9600
108,0.15000,0.10000,0.5300,0.9600
109,0.15000,0.10000,0.8700,0.9100
110,0.15000,0.10000,0.2800,0.9800
111,0.15000,0.10000,0.0700,0.9900
112,0.15000,0.10000,0.0900,0.9700
113,0.15000,0.10000,0.0400,0.9900
114,0.15000,0.10000,0.0700,1.0000
115,0.15000,0.10000,0.0000,1.0000
116,0.15000,0.10000,0.0100,1.0000
117,0.15000,0.10000,0.0000,1.0000
118,0.15000,0.10000,0.0100,1.0000
119,0.15000,0.10000,0.0000,1.0000
120,0.15000,0.10000,0.0100,1.0000
121,0.15000,0.10000,0.0100,0.9800
122,0.15000,0.10000,0.0000,0.9900
123,0.15000,0.10000,0.0000,1.0000
124,0.15000,0.10000,0.0100,1.0000
125,0.15000,0.10000,0.0100,1.0000
126,0.15000,0.10000,0.0200,1.0000
127,0.15000,0.10000,0.0100,1.0000
128,0.15000,0.10000,0.0100,0.9900
129,0.15000,0.10000,0.0000,1.0000
130,0.15000,0.10000,0.0100,0.9900
131,0.15000,0.10000,0.0000,0.9900
132,0.15000,0.10000,0.0600,1.0000
133,0.15000,0.10000,0.3200,0.9600
134,0.15000,0.10000,0.7700,0.9200
135,0.15000,0.10000,0.9900,0.9500
136,0.15000,0.20000,0.9800,0.9800
137,0.15000,0.20000,0.9500,0.9800
138,0.25000,0.20000,0.9300,0.9600
139,0.25000,0.20000,0.9600,0.9700
140,0.25000,0.20000,0.9800,0.9700
141,0.25000,0.30000,0.8700,0.9500
142,0.35000,0.30000,0.9800,0.9500
143,0.35000,0.40000,0.9100,0.9600
144,0.45000,0.40000,0.9700,0.9600
145,0.45000,0.50000,0.9600,0.9600
146,0.45000,0.50000,0.9700,0.6700
147,0.45000,0.50000,0.9600,0.9400
148,0.45000,0.50000,0.9400,0.6900
149,0.45000,0.50000,0.8900,0.8000
150,0.45000,0.50000,0.9500,0.8900
151,0.45000,0.50000,0.9400,0.8000
152,0.45000,0.50000,1.0000,0.0200
153,0.45000,0.50000,0.9800,0.0900
154,0.45000,0.50000,0.9900,0.0100
155,0.45000,0.50000,0.9900,0.0900
156,0.45000,0.50000,0.9900,0.0000
157,0.45000,0.50000,1.0000,0.0100
158,0.45000,0.50000,1.0000,0.0100
159,0.45000,0.50000,1.0000,0.0000
160,0.45000,0.50000,0.9900,0.0000
161,0.45000,0.50000,1.0000,0.0000
162,0.45000,0.50000,1.0000,0.0000
163,0.45000,0.50000,1.0000,0.0200
164,0.45000,0.50000,1.0000,0.0000
165,0.45000,0.50000,1.0000,0.0000
166,0.45000,0.50000,1.0000,0.0100
167,0.45000,0.50000,0.9900,0.0600
168,0.45000,0.50000,1.0000,0.1100
169,0.45000,0.50000,1.0000,0.0400
170,0.45000,0.50000,1.0000,0.0000
171,0.45000,0.50000,1.0000,0.0000
172,0.45000,0.50000,1.0000,0.0000
173,0.45000,0.50000,1.0000,0.0000
174,0.45000,0.50000,0.9900,0.0000
175,0.45000,0.50000,1.0000,0.0000
176,0.45000,0.50000,1.0000,0.0000
177,0.45000,0.50000,1.0000,0.0000
178,0.45000,0.50000,1.0000,0.0000
179,0.45000,0.50000,1.0000,0.0000
180,0.45000,0.50000,1.0000,0.0100
181,0.45000,0.50000,1.0000,0.0000
182,0.45000,0.50000,1.0000,0.0000
183,0.45000,0.50000,1.0000,0.0000
184,0.45000,0.50000,0.9900,0.0000
185,0.45000,0.50000,1.0000,0.0000
186,0.45000,0.50000,1.0000,0.0000
187,0.45000,0.50000,1.0000,0.0000
188,0.45000,0.50000,1.0000,0.0000
189,0.45000,0.50000,1.0000,0.0000
190,0.45000,0.50000,1.0000,0.0100
191,0.45000,0.50000,1.0000,0.0000
192,0.45000,0.50000,1.0000,0.0000
193,0.45000,0.50000,1.0000,0.0000
194,0.45000,0.50000,1.0000,0.0000
195,0.45000,0.50000,1.0000,0.0000
196,0.45000,0.50000,1.0000,0.0000
197,0.45000,0.50000,0.9900,0.0000
198,0.45000,0.50000,1.0000,0.0000
199,0.45000,0.50000,1.0000,0.0000
200,0.45000,0.50000,1.0000,0.0000
201,0.45000,0.50000,1.0000,0.0000
202,0.45000,0.50000,1.0000,0.0100
203,0.45000,0.50000,1.0000,0.0100
204,0.45000,0.50000,1.0000,0.0000
205,0.45000,0.50000,1.0000,0.0000
206,0.45000,0.50000,1.0000,0.0000
207,0.45000,0.50000,1.0000,0.0000
208,0.45000,0.50000,1.0000,0.0000
209,0.45000,0.50000,1.0000,0.0000
210,0.45000,0.50000,1.0000,0.0000
211,0.45000,0.50000,1.0000,0.0000
212,0.45000,0.50000,1.0000,0.0000
213,0.45000,0.50000,1.0000,0.0000
214,0.45000,0.50000,1.0000,0.0000
215,0.45000,0.50000,1.0000,0.0000
216,0.45000,0.50000,1.0000,0.0000
217,0.45000,0.50000,1.0000,0.0000
218,0.45000,0.50000,1.0000,0.0100
219,0.45000,0.50000,1.0000,0.0000
220,0.45000,0.50000,1.0000,0.0000
221,0.45000,0.50000,0.9800,0.0000
222,0.45000,0.50000,1.0000,0.0000
223,0.45000,0.50000,1.0000,0.0000
224,0.45000,0.50000,1.0000,0.0100
225,0.45000,0.50000,1.0000,0.0000
226,0.45000,0.50000,1.0000,0.0000
227,0.45000,0.50000,1.0000,0.0000
228,0.45000,0.50000,0.9900,0.0000
229,0.45000,0.50000,1.0000,0.0100
230,0.45000,0.50000,0.9900,0.0000
231,0.45000,0.50000,1.0000,0.0000
232,0.45000,0.50000,1.0000,0.0000
233,0.45000,0.50000,1.0000,0.0100
234,0.45000,0.50000,1.0000,0.0000
235,0.45000,0.50000,0.9900,0.0100
236,0.45000,0.50000,1.0000,0.0200
237,0.45000,0.50000,1.0000,0.0000
238,0.45000,0.50000,1.0000,0.0000
239,0.45000,0.50000,1.0000,0.0000
240,0.45000,0.50000,1.0000,0.0000
241,0.45000,0.50000,1.0000,0.0000
242,0.45000,0.50000,1.0000,0.0000
243,0.45000,0.50000,1.0000,0.0000
244,0.45000,0.50000,1.0000,0.0000
245,0.45000,0.50000,0.9900,0.0000
246,0.45000,0.50000,1.0000,0.0000
